store_name,store_id,date,total_signals,unique_visits,student,honda,addidas,retired,bmw,employed,h_&_m,mercedes-benz,job_seeking,tommy_helfinger,apple,male,female,low_income,middle_income,high_income
Aldi,place_62,2021-01-07,3,2,0,0,0,0,0,0,0,0,0,0,0,3,0,1,2,0
Kaufland,place_225,2021-01-13,3,2,0,0,0,0,0,0,0,0,0,0,0,3,0,1,0,2
Rewe,place_148,2021-01-14,3,3,0,1,0,0,1,0,0,0,0,0,1,3,0,1,1,1
Rewe,place_203,2021-01-08,3,1,0,0,0,0,0,0,0,0,0,0,0,3,0,3,0,0
Kaufland,place_225,2021-01-18,3,3,0,0,0,0,0,1,0,0,0,0,0,3,0,0,2,1
Rewe,place_196,2021-01-08,3,1,0,0,0,0,3,0,0,0,0,0,0,3,0,0,3,0
Aldi,place_111,2021-01-06,3,2,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,3
Rewe,place_193,2021-01-18,3,2,1,2,0,0,0,1,0,0,0,0,0,3,0,3,0,0
Burger King,place_37,2021-01-18,3,3,1,0,0,0,0,0,0,0,1,0,1,2,1,1,1,1
Burger King,place_40,2021-01-16,3,2,0,0,0,0,0,0,1,0,0,0,0,2,1,2,1,0
McDonald's,place_13,2021-01-10,3,1,0,0,0,0,0,0,0,0,0,0,0,3,0,0,3,0
Rewe,place_196,2021-01-13,3,2,0,2,2,0,0,2,0,0,0,0,0,3,0,0,2,1
Rewe,place_156,2021-01-09,3,1,0,0,0,0,0,0,0,0,0,0,0,3,0,0,3,0
Rewe,place_156,2021-01-07,3,1,0,0,3,0,0,0,0,0,0,0,0,3,0,0,3,0
McDonald's,place_14,2021-01-13,3,1,0,0,0,0,0,0,0,0,0,0,0,3,0,0,3,0
Kaufland,place_213,2021-01-12,3,3,0,0,0,0,0,0,0,0,0,1,0,3,0,1,2,0
Rewe,place_154,2021-01-21,3,2,1,0,0,0,0,0,0,2,0,0,0,3,0,0,2,1
